YEAR,DOY,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS10M
2005,251,0.0,80.47,31.52,22.03,2.54
2005,252,0.53,89.93,25.42,21.17,3.03
2005,253,0.02,86.18,29.88,21.38,2.48
2005,254,7.76,87.12,28.43,21.39,2.14
2005,255,2.06,84.09,29.78,20.68,2.17
2005,256,0.0,81.76,30.89,21.48,2.34
2005,257,0.03,86.45,29.33,22.95,6.23
2006,251,1.58,85.13,29.76,22.03,1.94
2006,252,0.2,87.63,29.56,22.22,2.42
2006,253,0.56,83.54,31.6,22.73,3.58
2006,254,11.73,85.74,26.13,20.18,4.33
2006,255,10.47,91.3,23.34,18.63,4.94
2006,256,14.35,91.85,22.39,17.24,4.89
2006,257,14.74,90.17,20.56,15.97,6.19
2007,251,0.02,85.82,29.8,22.56,5.17
2007,252,1.65,89.22,28.42,21.87,4.69
2007,253,12.47,89.88,28.5,22.89,3.91
2007,254,13.93,91.84,24.65,21.46,1.78
2007,255,44.05,90.44,24.1,17.49,2.72
2007,256,0.03,79.64,24.48,16.29,1.4
2007,257,0.01,86.72,28.02,18.76,2.76
2008,252,0.12,81.51,28.73,19.57,2.5
2008,253,0.03,72.23,26.76,16.81,3.26
2008,254,0.0,82.34,25.69,15.23,3.37
2008,255,2.89,84.14,25.6,14.9,5.03
2008,256,0.05,73.18,29.43,17.21,2.43
2008,257,0.08,79.35,28.44,18.32,2.06
2008,258,0.41,87.48,26.14,19.87,2.06
2009,251,0.55,89.67,26.38,19.56,3.64
2009,252,0.69,83.33,23.94,17.77,3.02
2009,253,0.01,68.29,26.63,14.04,2.7
2009,254,0.0,72.91,25.94,15.61,1.95
2009,255,20.97,91.82,23.37,17.09,2.19
2009,256,0.28,74.96,27.57,17.42,2.66
2009,257,0.0,76.05,23.99,15.44,2.75
2010,251,54.43,92.83,27.64,18.64,5.48
2010,252,1.26,74.78,28.38,18.3,4.67
2010,253,0.19,81.27,30.26,19.04,2.44
2010,254,0.0,73.78,33.95,21.16,2.01
2010,255,0.07,75.39,32.78,23.9,2.4
2010,256,0.77,76.12,33.8,23.67,2.18
2010,257,5.24,73.9,30.18,20.09,2.5
2011,251,0.01,80.73,27.87,17.43,2.57
2011,252,0.25,86.67,30.06,20.59,3.7
2011,253,0.02,82.74,31.39,22.43,2.57
2011,254,0.53,86.53,29.13,22.47,2.22
2011,255,0.01,85.64,29.16,21.5,2.46
2011,256,0.0,83.52,30.34,20.17,3.16
2011,257,0.0,83.78,30.44,21.31,2.33
2012,252,0.63,79.03,30.65,21.3,2.35
2012,253,0.05,79.8,30.14,21.67,3.08
2012,254,0.0,77.27,31.66,21.29,3.45
2012,255,2.2,74.82,31.57,21.94,2.5
2012,256,6.45,73.43,30.27,20.52,1.58
2012,257,0.01,70.7,31.79,19.95,2.57
2012,258,1.14,77.76,30.27,21.23,3.47
